,Pattern,Relative SUP,global_interest_16,global_criterion_16,global_interest_20,global_criterion_20,global_interest_22,global_criterion_22,global_interest_27,global_criterion_27
0,"[3, 10]",0.3333333333333333,0.044334071637917534,0.014778023879305845,0.3793408953621049,0.12644696512070164,0.265413786160145,0.08847126205338166,0.22328120455511558,0.07442706818503853
1,"[3, 10, 13]",0.25673758865248225,0.045170643783550804,0.011597002162869071,0.5913247913483014,0.1518153010411951,0.4188550605383802,0.1075358382375132,0.3490458837819835,0.089613198531261
2,"[3, 10, 13, 19]",0.2297872340425532,-0.015602836879432624,0.003585332729741965,0.6846335697399527,0.15732005432322319,0.48494877856579977,0.11143503847894973,0.4041239821381665,0.09286253206579145
3,"[3, 10, 13, 19, 20]",0.20425531914893616,-0.015602836879432624,0.003186962426437302,0.0,0.0,0.5636524822695035,0.11512901765504752,0.46971040189125296,0.09594084804587294
4,"[3, 10, 13, 19, 20, 21]",0.2028368794326241,-0.015602836879432624,0.0031648307429203762,0.0,0.0,0.5686058622228835,0.11533423872038628,0.47383821851906954,0.09611186560032191
5,"[3, 10, 13, 19, 20, 21, 22]",0.14468085106382977,-0.015602836879432624,0.002257431718726422,0.0,0.0,0.0,0.0,0.7051206975079706,0.10201746261817446
6,"[3, 10, 13, 19, 20, 21, 22, 23]",0.1375886524822695,-0.015602836879432624,0.0021467733011417936,0.0,0.0,0.0,0.0,0.7557212839072895,0.10397867310497459
7,"[3, 10, 13, 19, 20, 21, 22, 23, 24]",0.1375886524822695,-0.015602836879432624,0.0021467733011417936,0.0,0.0,0.0,0.0,0.7557212839072895,0.10397867310497459
8,"[3, 10, 13, 19, 20, 21, 22, 23, 24, 25]",0.1375886524822695,-0.015602836879432624,0.0021467733011417936,0.0,0.0,0.0,0.0,0.7557212839072895,0.10397867310497459
