,Pattern,Relative SUP,global_dropout_interest,global_dropout_criterion
0,"[2, 3]",0.9517730496453901,-0.12225787215887184,0.11636174782780569
1,"[2, 3, 4]",0.5617021276595745,-0.07421168406484023,0.041684860836420895
2,"[2, 3, 4, 5]",0.502127659574468,-0.031360196189430575,0.015746821916394926
6,"[2, 3, 4, 5, 6, 7, 8, 9]",0.4340425531914894,-0.012154867958331247,0.005275729922339521
5,"[2, 3, 4, 5, 6, 7, 8]",0.4340425531914894,0.008725510387174618,0.003787242806348132
4,"[2, 3, 4, 5, 6, 7]",0.4921985815602837,-0.006935033370180255,0.003413413587875955
7,"[2, 3, 4, 5, 6, 7, 8, 9, 10]",0.3219858156028369,-0.007905101712910798,0.002545330622454966
3,"[2, 3, 4, 5, 6]",0.4921985815602837,-0.004550402365283687,0.002239701589721191
8,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",0.21560283687943263,-0.007905622082590727,0.001704474548303249
