,Pattern,Relative SUP,local_interest_11,local_criterion_11,local_interest_24,local_criterion_24,local_interest_28,local_criterion_28,local_interest_32,local_criterion_32
0,"[1, 2]",1.0,0,0,0,0,0,0,0.0,0.0
1,"[1, 2, 3]",0.975609756097561,0,0,0,0,0,0,0.006300813008130068,0.006147134642078116
2,"[1, 2, 3, 4]",0.6455284552845528,0,0,0,0,0,0,0.13839569126169854,0.08933835679820214
3,"[1, 2, 3, 4, 5]",0.6439024390243903,0,0,0,0,0,0,0.13938162108893815,0.08974816577434067
4,"[1, 2, 3, 4, 5, 6]",0.5658536585365853,0,0,0,0,0,0,0.19336977852537152,0.1094189966289907
5,"[1, 2, 3, 4, 5, 6, 7]",0.5642276422764227,0,0,0,0,0,0,0.1946533586373328,0.10982880560512923
6,"[1, 2, 3, 4, 5, 6, 7, 8]",0.5495934959349593,0,0,0,0,0,0,0.2065473613316015,0.11351708639037611
7,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",0.5495934959349593,0,0,0,0,0,0,0.2065473613316015,0.11351708639037611
8,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.5398373983739837,0,0,0,0,0,0,0.2148349495543148,0.11597594024720734
